kanji,keyword,meanings,story,frequency_rank,anki_tag
題,topics,"topic, subject",some *topics* JUST SO appear in your HEAD,199,
染,dye,"dye, color, paint, stain, print","To make this *dye*, I used WATER and the barks of nine different TREES.",914,
界,world,"world, boundary","nowadays, carrots or potatoes are JAMMED INTO the FIELD almost everywhere in the *world*",236,
茶,tea,tea,"matcha is a kind of *tea* where the tea FLOWER is grown in the shade under an UMBRELLA, held up by a WOODEN POLE",542,
脊,spinal column,"rtk: spinal column, stature, height, spine","the *spinal column* is like an UMBRELLA to the body which you always carry and to its left are TWO and to its right are TWO arms and legs respectively, which makes up most of the BODY",2300,suspend_rare
合,fits,"fit, suit, join, 0.1",under the UMBRELLA *fits* ONE talking MOUTH,8,
塔,pagoda,"pagoda, tower, steeple",the *pagoda* is constructed on the SOIL onto which FLOWERS FIT the best,1564,
玉,jewel,"jewel, ball",the small DROP on the KING'S scepter is a *jewel*,712,
宝,treasure,"treasure, wealth, valuables",many JEWELS in one HOUSE make up the *treasure*,972,
珠,pearl,"pearl, gem, jewel",the KING loves VERMILION and asked to find a *pearl* in that color,1566,
現,present,"present, existing, actual","a true KING can still be SEEN in the present, e.g., in Sweden or Denmark",136,
玩,play,"play, take pleasure in, trifle with, make sport of",the KING likes to *play* Golf in the BEGINNING of the day,1787,
狂,lunatic,"lunatic, insane, crazy, confuse",WILD DOGS are used by the KING instead of guards because he's a *lunatic*,1370,
旺,flourishing,"flourishing, successful, beautiful, vigorous",the SUN KING lived during a *flourishing* time of France's monarchy,2255,suspend_rare
皇,emperor,emperor,a WHITE robe wearing KING was called the *emperor* in ancient Rome,1271,
呈,displays,"display, offer, present, send, exhibit",a KING with a big MOUTH *displays* all his belongings to guests,1893,suspend_rare
全,whole,"whole, entire, all, complete, fulfill",under one UMBRELLA did the KING unite the *whole* kingdom,69,
栓,plug,"plug, bolt, cork, bung, stopper",the TREE as a WHOLE was used to *plug* the holes in the wooden house,2042,suspend_rare
理,logic,"logic, arrangement, reason, justice, truth",the KING of the principles of the COMPUTER is the mathematical field of *logic*,58,
主,lord,"lord, chief, master, main thing, principal",a small DROP version of a KING is a *lord*,224,
注,pouring,"pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate",the LORD has WATER *pouring* through his garden fountains every day,134,
柱,pillar,"pillar, post, cylinder, support","a TREE can be used as a *pillar*, for example in the old wooden church built for the LORD",1488,
金,gold,"gold, rtk-primitive: any metal",the stylish KING under the UMBRELLA has DROPS of *gold* on his left and right ear as piercings,94,
銑,pig iron / Roheisen,pig iron = Roheisen,the METAL BEFORE it gets shaped into something is the *pig iron / Roheisen*,9999,suspend_rare
鉢,bowl,"bowl, rice tub, pot, crown",this is the *bowl* of an alchemist who manipulates METALS using weird information from a BOOK,1574,
銅,copper,copper,*copper* is the METAL which is in the SAME copper cables all around the world,1887,suspend_rare
釣,angle,"angling, fish, catch, allure, ensnare",the easiest way to *angle* is to take GOLDfish out of a jar with a LADLE,871,
針,needle,"needle, pin, staple, stinger",a METAL NEEDLE is one type of *needle*,965,
銘,inscription,"inscription, signature (of artisan)","on a METAL plate was my last NAME written in Porzellangasse 33a, so an *inscription* basically",1214,
鎮,tranquilized,"tranquilize, ancient peace-preservation centers","i was *tranquilized* when i found out the GOLD which i purchased is TRUE, not a fake",1900,suspend_rare
導,guidance,"guidance, leading, conduct, usher","For *guidance* on the ROADWAY, have a GPS unit GLUED to your car.",605,
辻,crossing,"crossing, crossroad, street corners, (kokuji)","the *crossing* consists of TEN white stripes and a DROP of chewing gum, all on the ROAD",1781,
迅,swiftly,"swift, fast",transporting TEN bluefin tunas on a FISHHOOK on the ROAD so i can make it *swiftly* to the fishmarket,1300,
造,created,"create, make, structure, physique","the REVELATION of a new ROAD *created* new housing opportunities, but also more noise",488,
迫,urge,"urge, force, imminent, spur on",the WHITE stripes on the ROAD *urge* you not to go beyond them,1187,
逃,escape,"escape, flee, shirk, evade, set free","with the BACK facing the ROAD, they *escape* into the forest and hide",942,
辺,environs,"environs, boundary, border, vicinity","with a SWORD, standing by the ROAD, the samurai guards the *environs* of the land",446,
巡,patrol,"patrol, go around, circumference","in Venice, the police *patrol* also the RIVER ROADS",1270,
車,car,car,atomic,148,
連,take along,"take along, lead, join, connect, party, gang, clique","the CARS on the ROAD *take along* people, but usually not many",137,
軌,rut,"rut = Spuren in d Straße, wheel, track, model, way of doing",the CAR had to be pushed out by NINE people because it was stuck in a *rut*,1767,
輸,transports,"transport, send, be inferior",this is a CAR which *transports* the cattle to a MEETING of BUTCHERS (flesh + sword),850,
喩,metaphor,"metaphor, compare",A MEETING of BUTCHERS is a perfect *metaphor* for the supposed secret talks(MOUTHS) between Hitler and Stalin.,2653,suspend_rare
前,in front,"in front, before","*in front* of the BUTCHER shop, there is a sign made of HORNS.",41,
煎,broiled,"broil, parch, roast, boil",the meat is *broiled* IN FRONT of the guests on a FIRE,1928,suspend_rare
賂,graft,"rtk: graft, bribe",*graft* is like bribing. You have to give MONEY to EACH person.,3316,suspend_rare
各,Each,"each, every, either",*Each* and every one of us walks (WALKING LEGS) and talks (MOUTH) differently.,330,
格,status,"status, rank, capacity, character, case (law, grammar)",EACH WOOD has a certain *status* when it comes to furniture or floors,143,
略,abbreviations,"abbreviation, omission, outline, shorten, capture, plunder",the BRAIN cannot remember EVERY complex long name so we create *abbreviations*,735,
客,guest,"guest, visitor, customer, client",EACH *guest* should feel like in their own HOUSE,249,
